month,district,sentiment_score,review_count,sentiment_score_normalized
2018-01,Galle,0.9142857142857143,35,95.71428571428571
2018-01,Gampaha,0.0,1,50.0
2018-01,Jaffna,0.7777777777777778,9,88.88888888888889
2018-01,Kalutara,0.9166666666666666,12,95.83333333333333
2018-01,Kandy,0.6,25,80.0
2018-01,Matale,0.6,10,80.0
2018-01,Nuwara Eliya,0.5540540540540541,74,77.7027027027027
2018-01,Other,0.7647058823529411,34,88.23529411764706
2018-01,Polonnaruwa,0.9285714285714286,14,96.42857142857143
2018-01,Trincomalee,0.9166666666666666,12,95.83333333333333
2018-02,Ampara,1.0,3,100.0
2018-02,Anuradhapura,0.8653846153846154,52,93.26923076923077
2018-02,Badulla,0.6,30,80.0
2018-02,Colombo,0.8181818181818182,33,90.90909090909092
2018-02,Galle,0.96,25,98.0
2018-02,Jaffna,0.875,16,93.75
2018-02,Kalutara,0.6666666666666666,9,83.33333333333333
2018-02,Kandy,0.6086956521739131,23,80.43478260869566
2018-02,Matale,0.8461538461538461,13,92.3076923076923
2018-02,Nuwara Eliya,0.543859649122807,57,77.19298245614034
2018-02,Other,0.8461538461538461,39,92.3076923076923
2018-02,Polonnaruwa,0.9230769230769231,39,96.15384615384616
2018-02,Trincomalee,0.6666666666666666,9,83.33333333333333
2018-03,Ampara,1.0,2,100.0
2018-03,Anuradhapura,0.9,30,95.0
2018-03,Badulla,0.6206896551724138,29,81.03448275862068
2018-03,Colombo,0.7,20,85.0
2018-03,Galle,0.9047619047619048,21,95.23809523809523
2018-03,Gampaha,0.5,2,75.0
2018-03,Jaffna,0.5555555555555556,9,77.77777777777779
2018-03,Kalutara,0.5,10,75.0
2018-03,Kandy,0.8666666666666667,15,93.33333333333333
2018-03,Matale,0.4,10,70.0
2018-03,Nuwara Eliya,0.4528301886792453,53,72.64150943396226
2018-03,Other,0.8717948717948718,39,93.58974358974359
2018-03,Polonnaruwa,0.8478260869565217,46,92.3913043478261
2018-03,Trincomalee,0.5,10,75.0
2018-04,Ampara,1.0,2,100.0
2018-04,Anuradhapura,0.8181818181818182,22,90.90909090909092
2018-04,Badulla,0.8518518518518519,27,92.5925925925926
2018-04,Colombo,0.6842105263157895,38,84.21052631578947
2018-04,Galle,0.6666666666666666,36,83.33333333333333
2018-04,Gampaha,1.0,1,100.0
2018-04,Jaffna,1.0,7,100.0
2018-04,Kalutara,0.6,10,80.0
2018-04,Kandy,1.0,5,100.0
2018-04,Matale,0.25,8,62.5
2018-04,Nuwara Eliya,0.5166666666666667,60,75.83333333333333
2018-04,Other,0.8571428571428571,21,92.85714285714286
2018-04,Polonnaruwa,0.8043478260869565,46,90.21739130434783
2018-04,Trincomalee,0.8571428571428571,14,92.85714285714286
2018-05,Ampara,1.0,2,100.0
2018-05,Anuradhapura,0.8846153846153846,26,94.23076923076923
2018-05,Badulla,0.46153846153846156,13,73.07692307692308
2018-05,Colombo,0.5652173913043478,23,78.26086956521738
2018-05,Galle,0.7142857142857143,14,85.71428571428572
2018-05,Gampaha,-1.0,1,0.0
2018-05,Jaffna,1.0,5,100.0
2018-05,Kalutara,1.0,2,100.0
2018-05,Kandy,0.9230769230769231,13,96.15384615384616
2018-05,Matale,0.75,4,87.5
2018-05,Nuwara Eliya,0.6829268292682927,41,84.14634146341464
2018-05,Other,0.8636363636363636,22,93.18181818181819
2018-05,Polonnaruwa,0.9090909090909091,22,95.45454545454545
2018-05,Trincomalee,1.0,20,100.0
2018-06,Ampara,1.0,7,100.0
2018-06,Anuradhapura,0.6666666666666666,9,83.33333333333333
2018-06,Badulla,0.5454545454545454,11,77.27272727272727
2018-06,Colombo,0.8461538461538461,13,92.3076923076923
2018-06,Galle,0.7857142857142857,14,89.28571428571428
2018-06,Gampaha,-0.3333333333333333,3,33.333333333333336
2018-06,Jaffna,0.75,4,87.5
2018-06,Kalutara,0.42857142857142855,7,71.42857142857143
2018-06,Kandy,0.6923076923076923,13,84.61538461538461
2018-06,Matale,1.0,8,100.0
2018-06,Nuwara Eliya,0.8421052631578947,19,92.10526315789474
2018-06,Other,0.7272727272727273,33,86.36363636363636
2018-06,Polonnaruwa,0.8214285714285714,28,91.07142857142857
2018-06,Trincomalee,0.625,16,81.25
2018-07,Ampara,0.46153846153846156,13,73.07692307692308
2018-07,Anuradhapura,0.7931034482758621,29,89.65517241379311
2018-07,Badulla,0.9130434782608695,23,95.65217391304348
2018-07,Colombo,1.0,21,100.0
2018-07,Galle,0.7894736842105263,19,89.47368421052632
2018-07,Gampaha,-0.3333333333333333,12,33.333333333333336
2018-07,Jaffna,0.8333333333333334,6,91.66666666666667
2018-07,Kalutara,0.0,2,50.0
