month,sentiment_score,positive_count,review_count,negative_count,neutral_count,sentiment_score_normalized,ampara_sentiment,anuradhapura_sentiment,badulla_sentiment,colombo_sentiment,galle_sentiment,gampaha_sentiment,jaffna_sentiment,kalutara_sentiment,kandy_sentiment,matale_sentiment,nuwara_eliya_sentiment,other_sentiment,polonnaruwa_sentiment,trincomalee_sentiment,ampara_reviews,anuradhapura_reviews,badulla_reviews,colombo_reviews,galle_reviews,gampaha_reviews,jaffna_reviews,kalutara_reviews,kandy_reviews,matale_reviews,nuwara_eliya_reviews,other_reviews,polonnaruwa_reviews,trincomalee_reviews
2019-09,0.700507614213198,159,197,21,17,85.0253807106599,0.700507614213198,1.0,0.7142857142857143,0.8,0.5416666666666666,0.4,0.700507614213198,1.0,0.5769230769230769,0.8333333333333334,0.5,0.5789473684210527,0.9696969696969697,1.0,,3.0,14.0,15.0,24.0,5.0,,7.0,26.0,12.0,32.0,19.0,33.0,7.0
2019-10,0.8304347826086956,199,230,8,23,91.52173913043478,0.75,1.0,0.7,0.9523809523809523,0.6666666666666666,0.3333333333333333,1.0,0.8571428571428571,0.875,0.875,0.6521739130434783,0.9090909090909091,0.896551724137931,1.0,4.0,4.0,20.0,21.0,18.0,3.0,2.0,7.0,40.0,24.0,23.0,33.0,29.0,2.0
2019-11,0.7807017543859649,191,228,13,24,89.03508771929825,0.7807017543859649,1.0,0.9166666666666666,0.7272727272727273,0.9545454545454546,0.0,0.5,0.8571428571428571,0.7567567567567568,0.9,0.8235294117647058,0.5853658536585366,0.9444444444444444,0.6666666666666666,,18.0,12.0,22.0,22.0,6.0,2.0,7.0,37.0,20.0,17.0,41.0,18.0,6.0
2019-12,0.7844611528822055,331,399,18,50,89.22305764411027,0.7844611528822055,0.6551724137931034,0.875,0.9259259259259259,0.875,0.0,0.6666666666666666,1.0,0.8225806451612904,0.851063829787234,0.5833333333333334,0.7627118644067796,0.896551724137931,0.7142857142857143,,29.0,24.0,27.0,40.0,6.0,9.0,10.0,62.0,47.0,48.0,59.0,29.0,7.0
2020-01,0.7652859960552268,427,507,39,41,88.26429980276134,0.7652859960552268,0.896551724137931,0.8214285714285714,0.6578947368421053,0.8591549295774648,0.38461538461538464,1.0,0.8888888888888888,0.6153846153846154,0.9607843137254902,0.6666666666666666,0.7608695652173914,0.896551724137931,0.25,,29.0,28.0,38.0,71.0,13.0,2.0,18.0,78.0,51.0,54.0,92.0,29.0,4.0
2020-02,0.7613365155131265,342,419,23,54,88.06682577565633,0.7613365155131265,0.8484848484848485,0.5882352941176471,0.7272727272727273,0.7297297297297297,0.3333333333333333,0.8,0.9523809523809523,0.6707317073170732,0.825,0.5853658536585366,0.8985507246376812,0.8571428571428571,0.8333333333333334,,33.0,17.0,33.0,37.0,6.0,5.0,21.0,82.0,40.0,41.0,69.0,28.0,6.0
2020-03,0.7247191011235955,142,178,13,23,86.23595505617978,0.7247191011235955,1.0,1.0,0.5454545454545454,0.8108108108108109,1.0,0.5,0.8571428571428571,0.6388888888888888,1.0,0.3,0.75,0.8,1.0,,7.0,4.0,11.0,37.0,2.0,2.0,7.0,36.0,17.0,20.0,24.0,10.0,1.0
2020-04,1.0,4,4,0,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,2.0,,
2020-05,1.0,2,2,0,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,
2020-06,1.0,4,4,0,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,2.0,,1.0,,,
2020-07,0.8333333333333334,5,6,0,1,91.66666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,0.0,,,,,,,,1.0,,,,3.0,1.0,1.0
2020-08,0.5,4,6,1,1,75.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,-0.5,1.0,0.5,0.5,0.5,1.0,1.0,,1.0,,,,,,2.0,1.0,,,,1.0,1.0
2020-09,1.0,4,4,0,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,1.0,,
2020-10,1.0,1,1,0,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
2020-11,0.75,3,4,0,1,87.5,0.75,0.75,0.75,0.75,1.0,0.75,0.75,1.0,0.0,0.75,0.75,1.0,0.75,0.75,,,,,1.0,,,1.0,1.0,,,1.0,,
2020-12,1.0,1,1,0,0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,
2021-01,0.0,1,2,1,0,50.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,1.0,,,,,,
2021-02,0.0,1,2,1,0,50.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,1.0,,,,,,
